Vivado Simulator 2018.1
Time resolution is 1 ps
Time=                   0, clk=0, reset=1, a=         0, b=         0, ans=0000000000000000
Time=                5000, clk=1, reset=1, a=         0, b=         0, ans=0000000000000000
Time=               10000, clk=0, reset=0, a=         0, b=         0, ans=0000000000000000
Time=               15000, clk=1, reset=0, a=         0, b=         0, ans=0000000000000000
Time=               20000, clk=0, reset=0, a=       150, b=        17, ans=0000000000000000
Time=               25000, clk=1, reset=0, a=       150, b=        17, ans=0000000000000000
Time=               30000, clk=0, reset=0, a=       150, b=        17, ans=0000000000000000
Time=               35000, clk=1, reset=0, a=       150, b=        17, ans=00000000000009f6
Time=               40000, clk=0, reset=0, a=       150, b=        17, ans=00000000000009f6
Time=               45000, clk=1, reset=0, a=       150, b=        17, ans=00000000000009f6
Time=               50000, clk=0, reset=0, a=       150, b=        17, ans=00000000000009f6
Time=               55000, clk=1, reset=0, a=       150, b=        17, ans=00000000000009f6
Time=               60000, clk=0, reset=0, a=       150, b=        17, ans=00000000000009f6
Time=               65000, clk=1, reset=0, a=       150, b=        17, ans=00000000000009f6
Time=               70000, clk=0, reset=0, a=       150, b=        17, ans=00000000000009f6
Time=               75000, clk=1, reset=0, a=       150, b=        17, ans=00000000000009f6
Time=               80000, clk=0, reset=0, a=       150, b=        17, ans=00000000000009f6
Time=               85000, clk=1, reset=0, a=       150, b=        17, ans=00000000000009f6
Time=               90000, clk=0, reset=0, a=       150, b=        17, ans=00000000000009f6
Time=               95000, clk=1, reset=0, a=       150, b=        17, ans=00000000000009f6
Time=              100000, clk=0, reset=0, a=       150, b=        17, ans=00000000000009f6
Time=              105000, clk=1, reset=0, a=       150, b=        17, ans=00000000000009f6
Time=              110000, clk=0, reset=0, a=       150, b=        17, ans=00000000000009f6
Time=              115000, clk=1, reset=0, a=       150, b=        17, ans=00000000000009f6
Time=              120000, clk=0, reset=0, a=       150, b=        17, ans=00000000000009f6
Time=              125000, clk=1, reset=0, a=       150, b=        17, ans=00000000000009f6
Time=              130000, clk=0, reset=0, a=       150, b=        17, ans=00000000000009f6
Time=              135000, clk=1, reset=0, a=       150, b=        17, ans=00000000000009f6
Time=              140000, clk=0, reset=0, a=       150, b=        17, ans=00000000000009f6
Time=              145000, clk=1, reset=0, a=       150, b=        17, ans=00000000000009f6
Time=              150000, clk=0, reset=0, a=       150, b=        17, ans=00000000000009f6
Time=              155000, clk=1, reset=0, a=       150, b=        17, ans=00000000000009f6
Time=              160000, clk=0, reset=0, a=       150, b=        17, ans=00000000000009f6
Time=              165000, clk=1, reset=0, a=       150, b=        17, ans=00000000000009f6
Time=              170000, clk=0, reset=0, a=       150, b=        17, ans=00000000000009f6
Time=              175000, clk=1, reset=0, a=       150, b=        17, ans=00000000000009f6
Time=              180000, clk=0, reset=0, a=       150, b=        17, ans=00000000000009f6
Time=              185000, clk=1, reset=0, a=       150, b=        17, ans=00000000000009f6
Time=              190000, clk=0, reset=0, a=       150, b=        17, ans=00000000000009f6
Time=              195000, clk=1, reset=0, a=       150, b=        17, ans=00000000000009f6
Time=              200000, clk=0, reset=0, a=       150, b=        17, ans=00000000000009f6
Time=              205000, clk=1, reset=0, a=       150, b=        17, ans=00000000000009f6
Time=              210000, clk=0, reset=0, a=       150, b=        17, ans=00000000000009f6
Time=              215000, clk=1, reset=0, a=       150, b=        17, ans=00000000000009f6
Time=              220000, clk=0, reset=0, a=       150, b=        17, ans=00000000000009f6
Time=              225000, clk=1, reset=0, a=       150, b=        17, ans=00000000000009f6
Time=              230000, clk=0, reset=0, a=       150, b=        17, ans=00000000000009f6
Time=              235000, clk=1, reset=0, a=       150, b=        17, ans=00000000000009f6
Time=              240000, clk=0, reset=0, a=       150, b=        17, ans=00000000000009f6
Time=              245000, clk=1, reset=0, a=       150, b=        17, ans=00000000000009f6
Time=              250000, clk=0, reset=0, a=       150, b=        17, ans=00000000000009f6
Time=              255000, clk=1, reset=0, a=       150, b=        17, ans=00000000000009f6
Time=              260000, clk=0, reset=0, a=       150, b=        17, ans=00000000000009f6
Time=              265000, clk=1, reset=0, a=       150, b=        17, ans=00000000000009f6
Time=              270000, clk=0, reset=0, a=       150, b=        17, ans=00000000000009f6
Time=              275000, clk=1, reset=0, a=       150, b=        17, ans=00000000000009f6
Time=              280000, clk=0, reset=0, a=       150, b=        17, ans=00000000000009f6
Time=              285000, clk=1, reset=0, a=       150, b=        17, ans=00000000000009f6
Time=              290000, clk=0, reset=0, a=       150, b=        17, ans=00000000000009f6
Time=              295000, clk=1, reset=0, a=       150, b=        17, ans=00000000000009f6
Time=              300000, clk=0, reset=0, a=       150, b=        17, ans=00000000000009f6
Time=              305000, clk=1, reset=0, a=       150, b=        17, ans=00000000000009f6
Time=              310000, clk=0, reset=0, a=       150, b=        17, ans=00000000000009f6
Time=              315000, clk=1, reset=0, a=       150, b=        17, ans=00000000000009f6
Time=              320000, clk=0, reset=0, a=       150, b=        17, ans=00000000000009f6
Time=              325000, clk=1, reset=0, a=       150, b=        17, ans=00000000000009f6
Time=              330000, clk=0, reset=0, a=       150, b=        17, ans=00000000000009f6
Time=              335000, clk=1, reset=0, a=       150, b=        17, ans=00000000000009f6
Time=              340000, clk=0, reset=0, a=       150, b=        17, ans=00000000000009f6
Time=              345000, clk=1, reset=0, a=       150, b=        17, ans=00000000000009f6
Time=              350000, clk=0, reset=0, a=       150, b=        17, ans=00000000000009f6
Time=              355000, clk=1, reset=0, a=       150, b=        17, ans=00000000000009f6
Time=              360000, clk=0, reset=0, a=       150, b=        17, ans=00000000000009f6
Time=              365000, clk=1, reset=0, a=       150, b=        17, ans=00000000000009f6
Time=              370000, clk=0, reset=0, a=       150, b=        17, ans=00000000000009f6
Time=              375000, clk=1, reset=0, a=       150, b=        17, ans=00000000000009f6
Time=              380000, clk=0, reset=0, a=       150, b=        17, ans=00000000000009f6
Time=              385000, clk=1, reset=0, a=       150, b=        17, ans=00000000000009f6
Time=              390000, clk=0, reset=0, a=       150, b=        17, ans=00000000000009f6
Time=              395000, clk=1, reset=0, a=       150, b=        17, ans=00000000000009f6
Time=              400000, clk=0, reset=0, a=       150, b=        17, ans=00000000000009f6
